id_danych_zamówienia,id_zamówienia,id_produktu,ilosc_sztuk,cena_za_sztukę,laczna_kwota
1,9,9,8,166.78,2080
2,7,4,8,183.88,637
3,5,11,10,334.04,936
4,9,14,9,331.26,1476
5,4,8,8,279.79,109
6,14,9,3,224.48,664
7,9,20,10,183.16,510
8,1,14,1,256.16,1629
9,5,18,4,292.87,1120
10,15,5,2,54.54,477
11,1,3,9,60.02,2632
12,11,16,7,225.43,183
13,12,3,2,101.33,506
14,20,12,4,297.87,3105
15,13,14,9,278.48,891
16,1,1,2,313.79,1285
17,9,2,4,89.17,822
18,19,14,9,70.04,903
19,4,20,2,296.52,86
20,14,14,7,238.46,765
21,9,6,4,163.47,1710
22,13,1,3,292.95,194
23,7,14,10,176.98,168
24,10,3,4,236.29,124
25,17,5,6,112.0,812
26,17,16,7,126.14,420
27,16,12,5,200.57,1206
28,4,6,8,145.22,1150
29,5,17,7,126.28,550
30,4,2,6,141.45,684
31,11,10,3,214.43,303
32,8,3,5,181.32,484
33,6,3,7,110.83,249
34,12,5,9,195.46,1938
35,11,15,6,54.92,252
36,12,11,4,165.49,2547
37,15,2,8,291.77,288
38,18,5,1,245.0,2352
39,14,5,6,268.86,1365
40,16,19,5,300.06,660
